course_name,course_attribute,elective_field,instructor,content,attendance,assessment,grade
篮球,体育课,,冉启明,很轻松，老师也很好,考勤点名，请假可以先点名然后再请假算你考勤过了，但是直接在群里请假也行，下雨让我们自己下keep锻炼然后发截图,就是篮球课都会考的三步上篮投篮滑步，有机会重考,97
摄影技术基础,专业课程,,王晔,好,三次摄影作业,提交摄影作业,Unknown
^_^,体育课,,^_^^_^,^_^^_^,^_^^_^,^_^,12
电磁场,专业课程,,阮江军,老师讲课比较幽默，温和，喜欢点名提问。授课比较注重原理，往往一个公式讲得非常详细，但计算过程会略去，适合基础较好的同学听讲。（我就不太能跟上他的进度）给分还行。,不定时点名签到。平时作业大概三四次。,闭卷考试,Unknown
语言学史,专业课程,,萧红,纸质签到 开卷考试,人物小传 小组pre,开卷考试 24年爆雷 很多人低分 慎选,78
中华诗词审美,通识选修课（公选课）,艺术体验与审美欣赏,王新才,一般无聊,很多写诗,论文,91
数据结构,专业课程,,王先兵,将数据结构,巨多实验课考勤,实验机考，理论笔试,Unknown
素质体育1/2,体育课,,殷涛,老师人很好，就是上课的话运动量是比别的老师要大的，给分很好,一学期就点几次名字，不去的话必须有假条和医院的证明,就按学校要求测试,98
朝鲜半岛问题研究,通识选修课（公选课）,社会科学与现代科学,王佳佳,就是讲究朝鲜韩国和周边国家，老师上课很有意思，也会安排一些其他老师的线上讲座，强烈推荐！,有一次小作业，回答个小问题500字以内，然后有一两次签到,开卷考试，可以用手机，题目不难基本上都能查到,96
素质体育,体育课,,郭浩洋,老师很好，但上课下课时间掐的很准，每节课点名,和每年的要求一样，按成绩给分,考试,100
素质体育2,体育课,,张红,张老师很好，热身拉伸等动作很专业，课程强度不是很大，给分很好！,偶尔点名,正常几个项目测试,Unknown
英语散文赏析,专业课程,,张东燕,经典英语散文讲解，老师很好讲的很清晰给分好,期末闭卷。但是会给16道题。期末卷子16选8。自己答的时候8选5。平时会有一次pre,闭卷。其实相当于开卷。,95
色彩原理与应用,通识选修课（公选课）,社会科学与现代科学,马桃林,讲述与色彩有关的知识，比如包装设计啥的,两篇一千五百字的论文,论文,92
阿萨德,体育课,,阿萨德,阿萨德,阿萨德,阿萨德,Unknown
阿萨德1,体育课,,阿萨德,阿萨德1,阿萨德11,阿萨德1,Unknown
1,体育课,,1,1,1,1,99
1,体育课,,1,1,1,1,99
大物B,公共课,,王倜,不咋地，所考即所得，我舍友最后分数比卷面分还低（正常上课）,每张作业，有考勤,闭卷,83
纳米科学与技术,通识选修课（公选课）,科学精神与生命关怀,石渶,好,签到,开卷考试,Unknown
建筑设计原理（1）,专业课程,,Penny Lewis,好,不知道,不知道,Unknown
习概,公共课,,李美幸,老师上课很轻松,一次展示,闭卷考试,Unknown
中国古代文学史（下）,专业课程,,程芸,就是上马工程的文学史内容，老师讲的很好,会偶尔考勤（点名），随机点人读诗，随机出现pre作业，但是是自荐完成，都会算平时分,闭卷，考试内容会给,Unknown
大学交际英语3/4,公共课,,李瑾杰,这个老师平时的事情和作业是真的少，但是给分不行，卷面83总评83，卷面80总评82，供参考，想冲高分的话不太建议选,偶尔点名，作业很少,正常统考,Unknown
中华乐教导引,通识选修课（公选课）,艺术体验与审美欣赏,易栋,讲古诗词，戏曲，还请专家来讲课，运气好的话能赶上易栋老师牵头的表演,基本不考勤，考勤没到其实影响不大，偶尔有个群里的接龙赏析之类的,论文结课800-3000字不等,94
生产实践,专业课程,,吕颂雅,生产实践实习,生产实践实习，交结课论文,结课论文4000字,94
现代设计鉴赏,通识选修课（公选课）,艺术体验与审美欣赏,沈静,主要是建筑艺术，很水基本给90,不考情，无作业,论文,90
现代设计鉴赏,通识选修课（公选课）,艺术体验与审美欣赏,沈静,主要是建筑艺术，很水基本给90,不考情，无作业,论文,90
刑法总论,专业课程,,李颖峰,老师讲的非常细致，课堂笔记可以参考资料群，会结合案例，需要好好听课捏,老师不查考勤，平时作业是一次论文（探讨刑事责任年龄是否应该下调），不拘泥形式，写出自己的想法即可。,闭卷考试,94
高等数学A1,公共课,,周进,老师很严不适合重修适合直接上,三次点名，作业很少,统一考试,Unknown
分子生物学,专业课程,,刘青珍,基因的分子生物学这本书，老师讲得很好逻辑很清晰，给分很好,期末考试（闭卷），平时有一次pre,期末考试,99
高等数学A2,公共课,,胡新启,讲课清晰，不点名，作业较多需要认真完成，期中期末占大头,不点名，作业较多需要认真完成，期中期末占大头,笔试,96
治水与社会发展,通识选修课（公选课）,科学精神与生命关怀,肖华,老师人很好，课堂气氛也很好,考勤很少，会有一次小组展示,论文,Unknown
线性代数,公共课,,黄正华,无敌，老师讲的感觉是whutop1了,无任何考勤，作业量不大，交作业本,统一闭卷考试,94
离散数学,专业课程,,喻丹丹,计算机基础课程，有点难但是老师很负责很好，给分超级好,小测和作业不少，也有期中考试,闭卷,97
乒乓球2,体育课,,汪杰,"主要内容：一方面练习正手攻反手推，另一方面练习发旋转球
评价：不知道怎么评价，上学期上的王卫学的乒乓球1，王老师教的很好很耐心，会专门和基础不好的学生对练手把手指导；但这个汪杰有点幽默（我不知道是不是就我这届这样），主打一个自学和向有基础的同学请教，平时只讲解一些考试评分规则，至于具体怎么练全靠自己摸索和向其他同学学习，搞了一个幽默的感恩行动（形式主义随便应付就行），让不认识的同学不断打乱分组随机练习，想让我们记住每个同学名字，感觉不像是授课教学，反而是社会实践",选课结束后基本每节课都会点名，下课也会清点人数，平时让大家练习可能会随机抽查,"正手攻球反手推塔为1组，打30组，要控制好球高和落点，满分25
发旋转球到4个位置，每个位置要发到2个，一共十次机会，注意球速和旋转，满分25
以上两项可以随时找汪杰去考试或者重考，不过一节课一次机会，可以刷分
有一个感恩行动，就是帮陪你练习、指导过你的同学做些事（洗衣服袜子鞋子等），10分
记住班级同学的姓名，可能有加分
考勤、乐跑、体测等占其它成绩",89
素质体育,体育课,,许少锋,教授太极拳,事巨多。,期中的分数加权，然后期末互相评价。,82
中华乐教导引,通识选修课（公选课）,艺术体验与审美欣赏,易栋·,老师上课幽默风趣，而且人特别特别好！给分神中神,考勤其实来不来都可以，不来不扣分，来了会加分，但是总体都是90+，平时检查来没来的方式就是上课老师会说的特别的检验方式，一般只有上课的人知道，平时作业约等于没有。,写一篇论文800-3000字，主题都涉及中华文化,94
普通物理实验,专业课程,,cgx,十二个普物实验,十二次考勤，十二次实验报告,最后一次实验报告当堂上交,93
信息组 鉙,专业课程,,饶艳,老師給分很差！！！上堂就諗ppt，什麼也學不到、不要選她，還掛人！,不签到,闭卷,55
普通心理学,专业课程,,李杰,事很多，几乎每节课都有小组讨论和抽人互动。内容很多，会分享一些心理学的实验。枯燥的理论也很多。老师讲的很枯燥。,每节课都有扫码签到、抽人互动。每节课是三个课时，最后一个课时是下课回去自己看网课，看完要写一份结合课堂所学和教科书内容的200-500字左右的作业。,闭卷考占60%，会划重点，考题偏开放性问题。,83
职业规划与创新创业,专业课程,,周力虹,出去调研,三个小作业,一篇论文,Unknown
常微分方程,专业课程,,羿旭明,老师非常好，给分还可以,每周都有作业,闭卷考试简单,91
英国社会与文化,公共课,,唐军俊,唐老师人很好很亲切，上课会让学生自主讨论交流，然后在学习通上提交结论或问题答案,课前学习通签到，两三次iwrite写作、一次课堂展示、预习、听写、慕课等,口语考试+期末考试+平时成绩,90
1,体育课,,1,11,1,1,Unknown
古希腊戏剧赏析,通识选修课（公选课）,中华文化与世界文明,艾士薇,好,有两次考勤，无平时作业,开卷考,91
人文地理与社会生活,通识选修课（公选课）,中华文化与世界文明,毋有江,老师上课很有趣很轻松,无作业 两次签到,手写论文3000字,97
自然科学导引,通识必修课（导引）,,石瑛,我小班课已经非常努力了，但分数还是一般,小班课 quiz,论文,89
社会心理学,专业课程,,钟年,非常水但很有意思，可惜钟老师退休了,没有考勤，平时作业是参观影响心理咨询和写自己的墓志铭,论文新社会心理学的问题,Unknown
化妆与形象设计,专业课程,,刘吉烨,"课程全是学生pre，但也可以学到东西
","大类不考勤，播班的老师都认识
平时就是一次Pre","期末有两种方法考核，班上同学投票决定
一种是到学院拍一张素颜照，然后现场化妆换装，再拍一张照片和一段视频
第二种是照一张错误穿搭和妆容的范例，然后对其进行分析，提出改进的方法，最后以ppt的形式呈现",88
高等数学A1,公共课,,黄正华,高数,平时作业，不考勤,统一考试,79
马克思主义哲学原理（下）,专业课程,,刘秉毅,完全按照老师自己的PPT讲授（PPT不会分享，课上一定要拍照或记录下来内容）,期中期末分别提交两次读书笔记（各1500字）；期末前会有一次讨论课，须结合老师给出的主题撰写讨论课文章（2500字左右），再由老师/助教推荐同学上台宣读以及提问；课堂表现占一定期末分值，并且课上老师会高强度抽人提问！！！（不会专门考勤，但抽的人数也够多了）,考查内容基本来自PPT（需要嗯背），题型大致为名词解释、简述题（？）、论述题,92
世界史通史,专业课程,,尚洁，蒋焰,"尚洁：文艺复兴、宗教改革，地理大发现、欧洲经济社会变革；
蒋焰：欧洲主权国家的兴起，到启蒙运动。",考勤无点名，有期中课堂考试,考试,Unknown
宏观经济学,专业课程,,聂禾,给分不好逃,点很多人提问,考试,60
数据可视化,专业课程,,王玉林,讲课内容水,每节课都考勤，没有作业,交结课报告,83
设计的人文维度,专业课程,,袁燕,挺好的,有考勤，作业课上完成,大作业,92
阿萨德1,体育课,,asdasd,阿达阿达是的,啊实打实大师大师,阿达阿达是的,Unknown
阿萨德1,体育课,,阿斯顿,阿达阿达是的,啊实打实大师大师,阿达阿达是的,Unknown
阿萨德爱仕达,体育课,,阿斯顿,阿达阿达是的,啊实打实大师大师,阿达阿达是的,Unknown
阿萨德爱仕达,体育课,,阿斯顿,阿达阿达是的,啊实打实大师大师啊实打实大师大撒大声地,阿达阿达是的,Unknown
阿萨德爱仕达,体育课,,阿斯顿,啊实打实大师大师啊实打实大师大撒大声地,啊实打实大师大师啊实打实大师大撒大声地,阿达阿达是的,Unknown
1,体育课,,1,怎么又要填一遍呀,1,1,1
量子世界探秘,通识选修课（公选课）,科学精神与生命关怀,王宝山,课程内容略硬核，老师是真想严谨的教会你量子物理/化学,"两次考勤，每次会在群里提前说
期中一张海报（每一届会变）","开卷考试&1000字学习心得
考试的话是当天下午群里发题然后自己打印出来做晚上交",94
应用伦理学前沿,专业课程,,李建华、姜子豪,"与伦理学相关的一些领域的知识，一般般
狠狠避雷！给分实在不行，两个老师对结课论文的要求还不一样",无,论文结课（打印）,82
